date,center_name,attendance_count
2019-07-10,Ormsby Community Center,39
2019-07-10,Paulson Community Center,11
2019-07-10,West Penn Community Center,77
2019-07-09,Warrington Community Center,35
2019-07-09,Phillips Community Center,53
2019-07-09,Ammon Community Center,98
2019-07-09,Magee Community Center,12
2019-07-09,Jefferson Community Center,45
2019-07-09,Brookline Community Center,37
2019-07-09,Paulson Community Center,3
2019-07-09,Ormsby Community Center,18
2019-07-09,West Penn Community Center,71
2019-07-08,Phillips Community Center,84
2019-07-08,Warrington Community Center,144
2019-07-08,Ammon Community Center,155
2019-07-08,Brookline Community Center,85
2019-07-08,Jefferson Community Center,73
2019-07-08,Magee Community Center,15
2019-07-08,Ormsby Community Center,21
2019-07-08,Paulson Community Center,5
2019-07-08,West Penn Community Center,56
2019-07-06,Warrington Community Center,2
2019-07-06,Phillips Community Center,4
2019-07-06,Ammon Community Center,80
2019-07-06,Brookline Community Center,23
2019-07-06,West Penn Community Center,66
2019-07-05,Phillips Community Center,42
2019-07-05,Warrington Community Center,125
2019-07-05,Ammon Community Center,46
2019-07-05,Brookline Community Center,30
2019-07-05,Jefferson Community Center,51
2019-07-05,Magee Community Center,8
2019-07-05,Paulson Community Center,5
2019-07-05,Ormsby Community Center,13
2019-07-05,West Penn Community Center,89
2019-07-03,Warrington Community Center,66
2019-07-03,Phillips Community Center,50
2019-07-03,Ammon Community Center,130
2019-07-03,Arlington Community Center,1
2019-07-03,Magee Community Center,9
2019-07-03,Jefferson Community Center,24
2019-07-03,Brookline Community Center,38
2019-07-03,Ormsby Community Center,21
2019-07-03,Paulson Community Center,9
2019-07-03,West Penn Community Center,105
2019-07-02,Phillips Community Center,98
2019-07-02,Warrington Community Center,72
2019-07-02,Arlington Community Center,36
2019-07-02,Ammon Community Center,170
2019-07-02,Brookline Community Center,47
2019-07-02,Jefferson Community Center,60
2019-07-02,Magee Community Center,13
2019-07-02,Paulson Community Center,27
2019-07-02,West Penn Community Center,129
2019-07-01,Warrington Community Center,74
2019-07-01,Phillips Community Center,107
2019-07-01,Ammon Community Center,256
2019-07-01,Magee Community Center,26
2019-07-01,Jefferson Community Center,157
2019-07-01,Brookline Community Center,48
2019-07-01,Paulson Community Center,36
2019-07-01,Ormsby Community Center,35
2019-07-01,West Penn Community Center,48
2019-06-29,Phillips Community Center,22
2019-06-29,Brookline Community Center,11
2019-06-29,Magee Community Center,4
2019-06-29,West Penn Community Center,60
2019-06-28,Phillips Community Center,45
2019-06-28,Warrington Community Center,66
2019-06-28,Ammon Community Center,194
2019-06-28,Magee Community Center,8
2019-06-28,Brookline Community Center,34
2019-06-28,Jefferson Community Center,82
2019-06-28,Ormsby Community Center,27
2019-06-28,Paulson Community Center,1
2019-06-28,West Penn Community Center,86
2019-06-27,Warrington Community Center,40
2019-06-27,Phillips Community Center,88
2019-06-27,Ammon Community Center,242
2019-06-27,Jefferson Community Center,104
2019-06-27,Brookline Community Center,37
2019-06-27,Magee Community Center,21
2019-06-27,Paulson Community Center,8
2019-06-27,Ormsby Community Center,24
2019-06-27,West Penn Community Center,160
2019-06-26,Phillips Community Center,100
2019-06-26,Warrington Community Center,70
